track_id,frame,x,y
1,0,312.20672607421875,925.8944091796875
1,1,358.48370361328125,924.8513793945312
1,2,380.96942138671875,902.8257446289062
1,3,399.76824951171875,888.2109375
1,4,428.0971374511719,881.311279296875
1,5,468.3258056640625,852.7239990234375
1,6,496.95782470703125,841.0233154296875
1,7,541.027099609375,834.028564453125
1,8,567.5328979492188,831.7518920898438
1,9,582.9533081054688,831.33642578125
1,10,598.2748413085938,834.2445678710938
1,11,640.8408813476562,833.9262084960938
1,12,679.267333984375,834.359375
1,13,710.591552734375,829.674072265625
1,14,737.7318115234375,840.0093383789062
1,15,787.26025390625,845.1278686523438
1,16,825.1484985351562,842.023681640625
1,17,850.9345092773438,839.9547119140625
1,18,876.089599609375,840.619873046875
1,19,909.1107788085938,821.0250244140625
1,20,939.5120849609375,801.383544921875
1,21,965.0374755859375,781.4922485351562
1,22,986.4989013671875,750.8779296875
1,23,1004.666748046875,717.128662109375
1,24,1016.4932861328125,722.6965942382812
1,25,1023.7145385742188,724.3792114257812
1,26,1038.9404296875,725.5252075195312
1,27,1071.7025146484375,721.6898803710938
1,28,1096.8515625,710.9381103515625
1,29,1115.54443359375,701.9542846679688
1,30,1135.2421875,693.0553588867188
1,31,1156.569580078125,692.3329467773438
1,32,1175.899658203125,686.2970581054688
1,33,1195.7835693359375,682.359619140625
1,34,1214.703857421875,678.0364379882812
1,35,1233.4599609375,675.6984252929688
1,36,1253.017822265625,670.035888671875
1,37,1271.571044921875,668.8721313476562
1,38,1284.847412109375,660.0830078125
1,39,1292.261474609375,655.5535278320312
1,40,1299.772216796875,653.17333984375
1,41,1305.24853515625,648.7843017578125
1,42,1308.763916015625,647.0397338867188
1,43,1311.767578125,644.2122192382812
1,44,1313.910888671875,631.4804077148438
1,45,1311.4737548828125,623.4618530273438
1,46,1305.01904296875,619.0330200195312
1,47,1299.220947265625,603.467529296875
1,48,1294.2481689453125,574.4935913085938
1,49,1288.64208984375,559.903076171875
1,50,1285.659423828125,554.9003295898438
1,51,1280.37158203125,548.2920532226562
1,52,1278.2353515625,540.6293334960938
1,53,1276.0491943359375,537.9158325195312
1,54,1269.7554931640625,533.861572265625
1,55,1265.830078125,530.0105590820312
1,56,1258.941650390625,529.9766845703125
1,57,1253.646240234375,530.2415161132812
1,58,1251.039306640625,530.1552124023438
1,59,1249.450439453125,530.190673828125
1,60,1248.218505859375,531.6824951171875
1,61,1246.416259765625,532.2561645507812
1,62,1245.669189453125,530.827392578125
1,63,1246.519287109375,530.5706787109375
1,64,1247.3946533203125,530.5823364257812
1,65,1250.723388671875,531.030029296875
1,66,1252.4267578125,530.9356079101562
1,67,1256.885498046875,531.3029174804688
1,68,1261.2315673828125,531.3854370117188
1,69,1263.9547119140625,531.5616455078125
1,70,1269.565185546875,532.0353393554688
1,71,1271.23193359375,531.61572265625
1,72,1266.4080810546875,531.2169799804688
1,73,1264.285400390625,531.1746826171875
1,74,1262.9405517578125,531.610107421875
1,75,1258.335205078125,531.1624755859375
1,76,1262.3377685546875,529.515625
1,77,1269.234130859375,524.5015258789062
1,78,1275.190185546875,520.3780517578125
1,79,1276.9456787109375,523.3079833984375
1,80,1280.8173828125,522.9042358398438
1,81,1279.1168212890625,521.3766479492188
1,82,1281.369873046875,520.9310913085938
1,83,1283.3206787109375,521.4006958007812
1,84,1285.03271484375,521.78662109375
1,85,1285.36279296875,520.6491088867188
1,86,1286.1876220703125,521.3844604492188
1,87,1286.39404296875,521.5812377929688
1,88,1286.894775390625,520.6768188476562
1,89,1286.591552734375,521.1728515625
1,90,1286.189208984375,521.341552734375
1,91,1285.53515625,521.4542236328125
1,92,1285.1328125,521.3643188476562
1,93,1285.65869140625,521.497314453125
1,94,1286.6011962890625,520.796875
1,95,1287.46142578125,520.5435791015625
1,96,1289.6695556640625,520.3465576171875
1,97,1289.85791015625,520.3800048828125
1,98,1290.024169921875,520.4874267578125
1,99,1290.24267578125,520.5896606445312
1,100,1290.0809326171875,520.6995849609375
1,101,1289.839111328125,520.7816772460938
1,102,1289.749267578125,520.7157592773438
1,103,1289.03759765625,520.5526733398438
1,104,1288.865966796875,520.6006469726562
1,105,1288.17431640625,520.7249145507812
1,106,1287.662109375,520.722900390625
1,107,1286.9862060546875,520.7288208007812
1,108,1286.627197265625,521.9719848632812
1,109,1289.200439453125,525.25927734375
1,110,1290.345458984375,526.4258422851562
1,111,1290.154541015625,527.1644287109375
1,112,1288.2142333984375,526.9468994140625
1,113,1285.38525390625,526.8553466796875
1,114,1282.935791015625,526.7084350585938
1,115,1281.5919189453125,526.4972534179688
1,116,1281.79248046875,526.369140625
1,117,1281.71484375,526.0347290039062
1,118,1281.547607421875,526.0906982421875
1,119,1282.8623046875,526.4521484375
1,120,1284.2779541015625,526.5728149414062
1,121,1284.60595703125,527.1383666992188
1,122,1285.802490234375,527.219970703125
1,123,1288.83837890625,526.8759765625
1,124,1288.764404296875,526.1979370117188
1,125,1288.10205078125,522.9467163085938
1,126,1289.6439208984375,520.8477172851562
1,127,1288.960693359375,520.7620239257812
1,128,1288.162109375,521.8073120117188
1,129,1286.1962890625,525.1797485351562
1,130,1287.333740234375,527.228271484375
1,131,1284.190185546875,529.65283203125
1,132,1282.265869140625,530.3877563476562
1,133,1280.9827880859375,529.734375
1,134,1280.1065673828125,533.2258911132812
1,135,1280.760009765625,542.2723388671875
1,136,1282.6031494140625,547.438720703125
1,137,1284.824462890625,548.4442138671875
1,138,1290.123046875,548.8611450195312
1,139,1299.226806640625,548.6719360351562
1,140,1305.9024658203125,548.7374877929688
1,141,1299.1005859375,549.072509765625
1,142,1314.0556640625,547.3345947265625
1,143,1326.66162109375,548.8484497070312
1,144,1326.755126953125,551.6621704101562
1,146,1372.4129638671875,572.0791015625
1,147,1380.40966796875,571.3936767578125
1,148,1392.256103515625,577.5765380859375
1,149,1416.005615234375,576.486572265625
1,150,1446.9403076171875,593.7200317382812
1,151,1459.3564453125,628.2738037109375
1,152,1466.2598876953125,641.1425170898438
1,153,1475.777587890625,648.3350219726562
1,154,1479.51611328125,650.6129760742188
1,155,1476.5479736328125,650.891845703125
1,156,1467.466064453125,651.7277221679688
1,157,1456.600341796875,666.59619140625
1,158,1445.392333984375,637.5300903320312
1,159,1437.7628173828125,610.346923828125
1,160,1426.873779296875,599.0928344726562
1,161,1415.6334228515625,596.9440307617188
1,162,1404.6070556640625,598.5294189453125
1,163,1397.6796875,602.80419921875
1,164,1390.185546875,608.8651123046875
1,165,1386.2705078125,611.0806274414062
1,166,1382.850341796875,613.8502807617188
1,167,1384.14892578125,613.6517944335938
1,168,1387.61669921875,613.4219970703125
1,169,1390.706298828125,612.2902221679688
1,170,1392.9549560546875,610.5213623046875
1,171,1393.1668701171875,606.542724609375
1,172,1385.80908203125,610.8253173828125
1,173,1384.6953125,613.717529296875
1,174,1378.693115234375,612.328369140625
1,175,1371.418701171875,613.24609375
1,176,1360.67138671875,616.5556030273438
1,177,1352.576904296875,619.2652587890625
1,178,1339.247802734375,620.6093139648438
1,179,1330.169677734375,614.820068359375
1,180,1322.8311767578125,612.03125
1,181,1320.646728515625,605.4422607421875
1,182,1309.881103515625,598.3133544921875
1,183,1296.571044921875,595.7886352539062
1,184,1284.989990234375,592.3961791992188
1,185,1275.203125,574.480224609375
1,186,1268.0306396484375,555.2449951171875
1,187,1264.105224609375,529.9608764648438
1,188,1261.647705078125,526.4892578125
1,189,1262.177978515625,526.3206787109375
1,190,1261.638671875,526.6022338867188
1,191,1263.237548828125,526.4808959960938
1,192,1264.166015625,527.619384765625
1,193,1267.05712890625,527.3697509765625
1,194,1264.8804931640625,528.154052734375
1,195,1264.19775390625,528.6556396484375
1,196,1264.261474609375,529.052490234375
1,197,1263.445556640625,528.6048583984375
1,198,1263.101318359375,528.1982421875
1,199,1262.888916015625,528.2280883789062
1,200,1262.9267578125,528.1895751953125
1,201,1262.576171875,528.2799682617188
1,202,1262.5191650390625,528.4188842773438
1,203,1262.786376953125,528.5198974609375
1,204,1262.6796875,528.59130859375
1,205,1262.634033203125,528.7174682617188
1,206,1262.5673828125,528.7372436523438
1,207,1262.678466796875,528.7921142578125
1,208,1262.828125,528.4584350585938
1,209,1263.0548095703125,528.3334350585938
1,210,1264.8489990234375,528.1880493164062
1,211,1265.98486328125,528.3262939453125
1,212,1266.391357421875,528.4004516601562
1,213,1269.965576171875,527.8951416015625
1,214,1271.380615234375,532.380126953125
1,215,1274.22509765625,541.98388671875
1,216,1278.098876953125,547.9949951171875
1,217,1279.910888671875,550.5944213867188
1,218,1276.0174560546875,551.5831298828125
1,219,1281.78759765625,552.4694213867188
1,220,1287.3240966796875,558.47412109375
1,221,1290.195556640625,565.1764526367188
1,222,1287.5301513671875,567.0081176757812
1,223,1283.789794921875,569.8612670898438
1,224,1281.01513671875,570.9404296875
1,225,1271.827880859375,570.6646118164062
1,226,1261.203125,570.8740844726562
1,227,1256.105224609375,575.4136962890625
1,228,1255.5865478515625,582.2789306640625
1,229,1255.14794921875,585.3840942382812
1,230,1253.444091796875,585.0239868164062
1,231,1251.0787353515625,579.1466064453125
1,232,1249.86572265625,573.8536376953125
1,233,1248.16015625,571.58447265625
1,234,1250.0302734375,571.2008666992188
1,235,1257.2340087890625,570.98583984375
1,236,1259.853759765625,568.647216796875
1,237,1261.2203369140625,567.114501953125
1,238,1261.3212890625,565.9779663085938
1,239,1260.035400390625,560.3238525390625
1,240,1258.0704345703125,551.2587890625
1,241,1255.63623046875,546.1835327148438
1,242,1251.2291259765625,544.35791015625
1,243,1248.8006591796875,543.7326049804688
1,244,1248.619384765625,543.806396484375
1,245,1246.912109375,543.981201171875
1,246,1245.771484375,544.560302734375
1,247,1249.6109619140625,547.0465087890625
1,248,1251.5557861328125,552.1884155273438
1,249,1250.58642578125,560.3109130859375
1,250,1252.9439697265625,564.0974731445312
1,251,1262.5164794921875,565.6659545898438
1,252,1268.5556640625,566.2457275390625
1,253,1271.0572509765625,566.0364379882812
1,254,1271.5313720703125,565.7691650390625
1,255,1271.8681640625,565.7172241210938
1,256,1271.512451171875,565.2188110351562
1,257,1270.323974609375,565.2318115234375
1,258,1270.591064453125,564.9815063476562
1,259,1267.8818359375,565.5496215820312
1,260,1265.9527587890625,565.8350219726562
